1044	（剩余区块：{0}）
1046	可选偏移量，用于从同一助记词派生不同钱包，可恢复使用相同助记词创建的隐藏钱包或备用钱包。
1053	添加钱包
1054	添加收藏
1057	加入收藏
1058	添加 {0} 钱包
1060	附加信息
1061	地址二维码
1062	地址列表
1063	地址 {0}
1064	地址
1065	全部币种
1066	全部联系人
1068	全部货币
1071	打开应用时，所有钱包都会开始同步
1072	全部钱包
1073	金额（可选）
1074	发送金额
1075	确定关闭吗？
1076	自动备份文件
1077	自动备份频率
1078	仅在 Wi-Fi 下自动同步
1079	可用
1080	可用余额
1081	返回
1082	备份密钥和配置
1083	已备份 {0}
1084	基于 BitFinite Wallet v2.3.0 和 Stack Wallet。密钥保留在你的设备中。Electrum 服务器接收地址查询和已签名的交易。TCP 不加密，兼容服务器可使用 TLS。
1086	生物识别进入胁迫模式
1087	区块高度
1089	构建提交
1090	构建编号
1091	构建签名
1092	绕过 Tor
1096	取消恢复过程
1097	取消交易
1098	已取消
1099	正在取消恢复，请稍候。
1102	更换区块浏览器
1105	选择主题
1110	选择地址类型
1111	选择深色主题
1112	选择手续费
1113	选择文件位置
1114	选择浅色主题
1115	选择开始日期
1116	选择创建钱包的日期（大致日期即可）
1117	选择启动时自动同步的钱包
1118	选择你的地址
1119	选择你的 {0} 使用偏好
1122	清空钱包名称输入框。
1123	币种单位
1124	佣金
1125	配置
1127	确认金额
1128	确认胁迫 PIN
1130	确认新 PIN
1131	确认 {0} 交易
1132	确认数
1133	已连接
1134	正在连接…
1136	复制到剪贴板
1137	费用
1140	在后台遮盖内容
1141	创建附加口令
1142	创建手动备份
1143	创建新 PIN
1144	创建新的 {0}
1146	创建备份
1147	创建备份文件
1149	已创建
1150	加密货币也是如此。接下来显示的助记词，就像上述比喻中的车钥匙。
1151	当前密钥
1152	当前级别：{0}
1154	自定义服务器
1156	日期
1157	正在解密 {0} 备份文件
1158	默认服务器
1159	删除
1160	删除地址
1161	删除通知
1164	关闭
1165	关闭胁迫 PIN
1166	禁止截屏
1167	放弃更改？
1168	未连接
1169	显示名称
1170	显示收藏的钱包
1171	请勿关闭此窗口，退出将取消此过程。
1172	不要向任何人展示。
1175	拖动以调整钱包顺序。
1176	胁迫 PIN
1177	错误
1181	编辑数值
1182	在上方修改区块浏览器。不同浏览器的网址格式可能不同。\n\n粘贴浏览器网址，然后用 [TXID] 标记交易编号的位置，{0} 会在该位置自动填入交易编号。
1185	启用币控制
1186	启用胁迫 PIN
1189	启用传统地址
1190	启用可选 RBF 手续费替换
1194	输入金额
1195	输入金额（{0} - {1} {2}）
1196	输入加密货币金额
1199	输入收款地址
1200	输入钱包的初始区块高度
1201	输入收款人地址
1202	输入观察钱包信息
1203	输入钱包名称
1208	页面导航出现异常，请联系开发者。\n{0}
1212	到期时间
1213	失败
1216	生成密钥失败，请重试。
1219	收藏的钱包
1220	收藏
1222	手续费率
1225	冻结原因
1226	从…
1227	已冻结
1233	随机名称按钮。为钱包生成随机名称。
1235	开始使用
1238	首页
1239	我已保存助记词
1240	我了解 {0} 不保存且无法恢复我的助记词；如果丢失助记词，我将无法使用钱包中的资金。
1248	如果此助记词创建时使用了可选的 BIP39 附加口令，请在此处输入。
1249	取消后将无法完成恢复，钱包不会出现在你的 {0} 中。
1250	丢失这些单词就无法使用资金。如果有人窃取或复制这些单词，也可以控制并转走你的资金。
1252	如果未记录或妥善保存助记词而导致资金丢失或被盗，任何人都无法帮你找回，包括我们。
1255	重要提示
1260	名称无效
1262	此钱包通过地址添加，不含私钥，无法签名交易。要发送交易，请使用其助记词恢复钱包。
1266	请妥善保管。
1267	关键词
1270	稍后
1272	正在加载更多…
1277	本地备注
1278	本地备注（可选）
1279	日志文件位置
1280	退出登录
1286	最大小数位数（0 到 {0}）
1287	消息
1290	输出缺失，可能已被使用。
1291	注意：需要重启 {0} 才能使更改生效。
1293	导航错误
1295	不再显示
1296	新二维码
1297	新二维码
1300	后续步骤：
1301	暂无内容
1302	未设置密钥
1303	无标签
1306	无可用收款地址
1309	暂无交易记录
1310	未找到 {0} 地址
1311	没有 {0} 钱包
1312	节点选项
1313	备注
1314	备注（可选）
1315	备注（可选）
1318	通知会显示在这里
1321	链上备注
1322	链上备注
1323	下一页将显示组成助记词的 {0} 个单词。\n\n请按顺序抄写，妥善保管，绝不要分享给他人。如果忘记 PIN 或丢失手机，助记词是找回资金的唯一方式。\n\n{1} 不保存且无法恢复你的助记词。只有你能控制此钱包。
1324	仅显示所选币种的地址。
1325	打开应用时，仅同步你选择的钱包
1330	PROOF OF WORK · SELF-CUSTODY
1331	粘贴
1332	支付方式
1335	付款
1338	收款地址
1340	助记词长度
1341	请检查拼写
1342	请检查网络连接，并确认当前节点工作正常。
1344	继续前请仔细阅读以下内容。
1345	请抄写备份数据，妥善保管，绝不分享。忘记 PIN 或丢失手机时，备份数据是找回资金的唯一方式。\n\n{0} 不保存且无法恢复你的备份数据。只有你能控制此钱包。
1346	请抄写备份数据，妥善保管，绝不分享。忘记 PIN 或丢失手机时，备份数据是恢复钱包的唯一方式。\n\n{0} 不保存且无法恢复你的备份数据。只有你能控制此钱包。
1347	请抄写备份密钥，妥善保管，绝不分享。忘记 PIN 或丢失手机时，备份密钥是找回资金的唯一方式。\n\n{0} 不保存且无法恢复你的备份密钥。只有你能控制此钱包。
1348	请按正确顺序抄写助记词并妥善保存，保护你的资金。下一页将要求核对单词。
1352	注重隐私
1353	私有余额
1355	必须重新开始此过程
1357	提供方
1358	公开余额
1361	数量
1368	已接收
1369	收款地址
1370	{0} 收款地址
1371	收款方
1372	收款钱包
1373	收款方 {0}
1374	收款方 {0} 地址
1375	推荐
1376	助记词
1377	助记词二维码
1378	助记词说明
1379	助记词和密钥保留在本机。你选择的 Electrum 服务器可以看到地址查询和交易数据。TCP 连接不加密，服务器支持时请使用 TLS。
1385	取消收藏
1387	请求编号
1389	请求详情
1392	重置日志位置
1397	恢复备份
1398	恢复密钥
1399	恢复 {0}
1400	恢复钱包可能需要一些时间。\n开始后请不要离开此页面。
1401	恢复钱包可能需要一些时间。\n请不要离开此页面。
1404	重复使用收款地址
1407	保存当前密钥
1411	选择浅色和深色主题，系统切换显示模式时会自动应用对应主题。
1412	选择启动时打开的钱包
1413	选择启动后立即打开的钱包
1415	选择地址币种
1416	选择余额
1417	选择表情
1420	选择钱包…
1421	选择要同步的钱包
1422	选择钱包…
1423	选择单词序号
1424	已选金额
1428	发送至
1433	已发送
1434	发送来源
1435	发送至
1436	服务器设置
1445	在胁迫模式下显示
1446	显示助记词
1447	显示约 {1} 笔交易中的 {0} 笔。余额为精确值。
1455	出现问题
1458	指定钱包
1459	状态
1460	状态：
1465	启动时同步所有钱包
1466	仅同步当前打开的钱包
1467	仅同步你正在使用的钱包
1468	正在同步…
1469	跟随系统
1470	TCP is unencrypted
1471	TCP traffic can be intercepted or modified, and nodes can see address queries. Enable TLS when supported. The client checks the genesis block and rejects a different chain.
1472	标签
1473	标签会显示在这里
1474	点击序号为
1479	包含地址、金额和备注的新二维码将显示在弹窗中。
1481	此操作会删除本机的所有应用数据，包括钱包和偏好设置，然后返回初始设置页面。\n\n删除前必须备份每个钱包的助记词。我们不保存你的钱包数据，无法替你恢复。\n\n确定删除所有本机数据吗？
1483	此信息不会保存，\n请自行妥善记录
1486	此选项允许你选择、冻结和使用交易输出。点击输出旁的圆圈进行选择。
1489	这是观察钱包
1490	剩余时间
1491	至…
1492	启用自动锁定
1493	显示测试网币种
1498	总金额
1499	发送总金额
1500	{0} 总计：{1}
1505	网络手续费 {0}
1506	筛选交易
1507	交易记录
1508	交易包含元数据（{0} 字节）— 点击查看详情
1509	交易备注
1511	透明地址
1513	可信
1518	无法恢复，点击图标重试。
1519	无法同步
1520	未确认
1522	未知
1524	上游源码
1525	启用 TLS 加密
1526	使用生物识别
1527	使用私有余额
1528	使用公开余额
1529	用户编号
1530	数值
1531	核对 BIP39 附加口令
1532	核对助记词附加口令
1533	核对助记词
1534	核对密钥
1535	版本
1536	查看备份密钥
1538	钱包余额
1539	钱包选项
1541	使用胁迫 PIN 解锁时，仅显示被标记为在胁迫模式下可见的钱包。向执法或边境人员提供胁迫 PIN 可能被视为欺骗，并可能产生法律后果。请根据自身情况谨慎使用。
1543	抄写下来。
1544	是，取消
1545	即将在浏览器中打开 {0}://{1}。
1548	你将永久删除此钱包。\n\n删除后，只有通过备份密钥才能重新使用资金。\n\n{0} 不保存且无法恢复你的备份密钥或钱包。\n\n请务必保存备份密钥。
1549	外部请求已关闭。可点击下方按钮从服务器加载主题，或手动安装本机主题文件。
1550	也可以稍后在钱包中操作
1551	之后可在设置中修改
1552	有车钥匙才能开车。丢失钥匙就无法开车；如果有人窃取或复制钥匙，也能开走你的车。
1558	你可以添加可选的 BIP39 附加口令。恢复钱包时，必须同时提供助记词和该口令。
1563	你需要发送 {0}
1564	你需要发送 {0} {1}
1577	联系人会显示在这里
1580	胁迫 PIN 将被删除。再次启用时需要重新创建。确定继续吗？
1581	收藏的联系人会显示在这里
1589	暂无
1596	{0}（我）
1599	{0} 地址
1600	{0} 备份已保存至：\n
1601	{0} 余额
1604	{0} 首页
1605	{0} 个输出{1}
1606	{0}会显示在这里
1607	{0} 个单词的助记词
1608	{0} 扩展公钥
1609	{0} 年
1611	{0} words
1614	Name your {0} wallet
1615	Transactions
1616	Your {0} receiving address
1617	Use PIN
1618	Use system biometrics
1619	Allow as a backup node
1620	Enter PIN again
1621	Create a new recovery phrase or restore an existing wallet.
1622	Recovery phrase
1623	Send {0}
1624	Available balance
1625	Enable TLS encryption
1626	Address type
1627	Note (optional)
1628	Copy
1629	Node data received
1630	Connected
1631	Current indexed height
1632	Restore options
1633	Enter {0} recovery words in order
1634	Receiving address
1635	Transactions will appear here after receiving or sending.
1636	Recipient
1637	Create wallet
1638	No transactions yet
1639	View, test and switch nodes
1640	Review transaction
1641	Tap the dice to generate a random name.
1642	Back up recovery phrase offline
1643	Networks & nodes
1644	Network fee
1645	At least 6 digits, used to unlock and confirm transfers.
1646	Chain data reported by the node
1647	Unlock GOwallet
1648	Choose a recognizable name, such as Savings
1649	Set a secure PIN
1650	Enter PIN to unlock
1651	Connected ≠ fully synced
1652	Choose a data source you trust
1653	Choose recovery phrase length
1654	Changes apply immediately and are saved on this device.
1655	Choose coin & network
1656	Amount
1657	The wallet reads an ElectrumX index. A connection or completed wallet sync does not prove that the server is fully synced or that transactions have been fully validated by consensus.
1658	Randomize keypad
1659	Estimated network fee
